
> portfolio@0.1.0 dev
> next dev

▲ Next.js 16.2.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://127.93.230.126:3000
- Environments: .env.local
✓ Ready in 260ms
⚠ The "middleware" file convention is deprecated. Please use "proxy" instead. Learn more: https://nextjs.org/docs/messages/middleware-to-proxy

 GET /projects/cellular-gaits/mapping 200 in 75ms (next.js: 1232µs, application-code: 73ms)
 GET /projects/cellular-gaits/mapping 200 in 74ms (next.js: 1035µs, application-code: 73ms)
 GET /projects/cellular-gaits/mapping 200 in 83ms (next.js: 1071µs, application-code: 82ms)
 GET /projects/cellular-gaits/mapping 200 in 82ms (next.js: 1087µs, application-code: 81ms)
 GET /projects/cellular-gaits/mapping 200 in 69ms (next.js: 2ms, application-code: 67ms)
 GET /projects/cellular-gaits/mapping 200 in 84ms (next.js: 1221µs, application-code: 82ms)
 GET /projects/cellular-gaits/mapping 200 in 74ms (next.js: 1948µs, application-code: 72ms)
 GET /projects/cellular-gaits/mapping 200 in 75ms (next.js: 915µs, application-code: 74ms)
 GET /projects/cellular-gaits/mapping 200 in 73ms (next.js: 887µs, application-code: 72ms)
 GET /projects/cellular-gaits/mapping 200 in 88ms (next.js: 4ms, application-code: 85ms)
 GET /projects/cellular-gaits/mapping 200 in 71ms (next.js: 899µs, application-code: 70ms)
 GET /projects/cellular-gaits/mapping 200 in 69ms (next.js: 1130µs, application-code: 68ms)
 GET /projects/cellular-gaits/mapping 200 in 80ms (next.js: 1806µs, application-code: 78ms)
 GET /projects/cellular-gaits/mapping 200 in 69ms (next.js: 1241µs, application-code: 68ms)
 GET /projects/cellular-gaits/mapping 200 in 70ms (next.js: 887µs, application-code: 69ms)
 GET /projects/cellular-gaits/mapping 200 in 65ms (next.js: 1112µs, application-code: 64ms)
 GET /projects/cellular-gaits/mapping 200 in 77ms (next.js: 1264µs, application-code: 76ms)
 GET /projects/cellular-gaits/mapping 200 in 67ms (next.js: 1121µs, application-code: 66ms)
 GET /projects/cellular-gaits/mapping 200 in 69ms (next.js: 1720µs, application-code: 67ms)
 GET /projects/cellular-gaits/mapping 200 in 69ms (next.js: 861µs, application-code: 68ms)
 GET /projects/cellular-gaits/mapping 200 in 71ms (next.js: 1356µs, application-code: 70ms)
 GET /projects/cellular-gaits/mapping 200 in 86ms (next.js: 1017µs, application-code: 85ms)
 GET /projects/cellular-gaits/mapping 200 in 87ms (next.js: 3ms, application-code: 84ms)
 GET /projects/cellular-gaits/mapping 200 in 74ms (next.js: 2ms, application-code: 71ms)
 GET /projects/cellular-gaits/mapping 200 in 71ms (next.js: 1966µs, application-code: 69ms)
 GET /projects/cellular-gaits/mapping 200 in 70ms (next.js: 1190µs, application-code: 69ms)
 GET /projects/cellular-gaits/mapping 200 in 66ms (next.js: 990µs, application-code: 65ms)
 GET /projects/cellular-gaits/mapping 200 in 53ms (next.js: 888µs, application-code: 52ms)
 GET /projects/cellular-gaits/mapping 200 in 40ms (next.js: 1194µs, application-code: 39ms)
 GET /projects/cellular-gaits/mapping 200 in 29ms (next.js: 1443µs, application-code: 27ms)
 GET /projects/cellular-gaits/mapping 200 in 16ms (next.js: 1201µs, application-code: 15ms)
 GET /projects/cellular-gaits/objective 200 in 130ms (next.js: 28ms, application-code: 102ms)
 GET /projects/cellular-gaits/optimizer 200 in 79ms (next.js: 15ms, application-code: 64ms)
 GET /projects/cellular-gaits/embodied 200 in 57ms (next.js: 15ms, application-code: 42ms)
✓ Compiled in 425ms
 GET /projects/cellular-gaits/appendix 200 in 141ms (next.js: 28ms, application-code: 114ms)
 GET /projects/cellular-gaits/behaviors 200 in 510ms (next.js: 473ms, application-code: 36ms)
 GET /projects/cellular-gaits/behaviors/perturbation 200 in 167ms (next.js: 13ms, application-code: 155ms)
 GET /projects/cellular-gaits 200 in 73ms (next.js: 17ms, application-code: 56ms)
 GET /projects/cellular-gaits/body 200 in 158ms (next.js: 47ms, application-code: 111ms)
 GET /projects/cellular-gaits/controller 200 in 87ms (next.js: 18ms, application-code: 69ms)
 GET /projects/cellular-gaits/controller 200 in 52ms (next.js: 4ms, application-code: 48ms)
 GET /projects/cellular-gaits/behaviors/chemotaxis 200 in 511ms (next.js: 466ms, application-code: 45ms)
 GET /projects/cellular-gaits/behaviors/chemotaxis 200 in 87ms (next.js: 36ms, application-code: 51ms)
✓ Compiled in 41ms
 GET /projects/cellular-gaits/behaviors/chemotaxis 200 in 180ms (next.js: 18ms, application-code: 162ms)
 GET /projects/cellular-gaits/controller 200 in 196ms (next.js: 69ms, application-code: 127ms)
 GET /projects/cellular-gaits/behaviors/chemotaxis 200 in 40ms (next.js: 1235µs, application-code: 39ms)
 GET /projects/cellular-gaits/behaviors 200 in 53ms (next.js: 6ms, application-code: 47ms)
✓ Compiled in 80ms
 GET /projects/cellular-gaits/behaviors 200 in 65ms (next.js: 46ms, application-code: 19ms)
 GET /projects/cellular-gaits/controller 200 in 64ms (next.js: 5ms, application-code: 59ms)
✓ Compiled in 9ms
 GET /projects/cellular-gaits/behaviors 200 in 69ms (next.js: 2ms, application-code: 67ms)
 GET /projects/cellular-gaits/controller 200 in 70ms (next.js: 23ms, application-code: 47ms)
 GET /projects/cellular-gaits/behaviors 200 in 538ms (next.js: 299ms, application-code: 239ms)
 GET /projects/cellular-gaits/controller 200 in 610ms (next.js: 62ms, application-code: 548ms)
✓ Compiled in 2.5s
✓ Compiled in 4s
 GET /projects/cellular-gaits/behaviors 200 in 1201ms (next.js: 814ms, application-code: 387ms)
 GET /projects/cellular-gaits/controller 200 in 1219ms (next.js: 551ms, application-code: 668ms)
 GET /projects/cellular-gaits/behaviors 200 in 345ms (next.js: 78ms, application-code: 267ms)
 GET /projects/cellular-gaits/controller 200 in 350ms (next.js: 4ms, application-code: 346ms)
✓ Compiled in 813ms
 GET /projects/cellular-gaits/behaviors 200 in 50ms (next.js: 14ms, application-code: 37ms)
✓ Compiled in 0ms
 GET /projects/cellular-gaits/behaviors 200 in 200ms (next.js: 60ms, application-code: 140ms)
 GET /projects/cellular-gaits/behaviors 200 in 83ms (next.js: 68ms, application-code: 15ms)
 GET /projects/cellular-gaits/controller 200 in 247ms (next.js: 134ms, application-code: 113ms)
 GET /projects/cellular-gaits/controller 200 in 85ms (next.js: 34ms, application-code: 51ms)
 GET /projects/cellular-gaits/controller 200 in 24ms (next.js: 877µs, application-code: 23ms)
✓ Compiled in 25ms
✓ Compiled in 40ms
[browser] ./components/cellular-gaits/CriticalityPlayground.tsx:504:1
Unexpected token. Did you mean `{'}'}` or `&rbrace;`?
  502 |     </div>
  503 |   );
> 504 | }
      | ^
  505 |

Parsing ecmascript source code failed

Import trace:
  Server Component:
    ./components/cellular-gaits/CriticalityPlayground.tsx
    ./app/projects/cellular-gaits/controller/page.tsx 
[browser] ./components/cellular-gaits/CriticalityPlayground.tsx:504:1
Unexpected token. Did you mean `{'}'}` or `&rbrace;`?
  502 |     </div>
  503 |   );
> 504 | }
      | ^
  505 |

Parsing ecmascript source code failed

Import trace:
  Server Component:
    ./components/cellular-gaits/CriticalityPlayground.tsx
    ./app/projects/cellular-gaits/controller/page.tsx 
 GET /projects/cellular-gaits/behaviors 200 in 83ms (next.js: 2ms, application-code: 81ms)
 GET /projects/cellular-gaits/controller 200 in 95ms (next.js: 25ms, application-code: 70ms)
✓ Compiled in 71ms
[?25h
